Serial,Year,Week,Game,Pick,Opponent,h?,Spread,Elo,Weighted DVOA,Difference,Weights,Correct?,Points
2016-16-9,2016,16,9,Oakland,Indianapolis,,-3.5,-5,,1.5,10,yes,10
2016-16-8,2016,16,8,Tennessee,Jacksonville,,-5,-4.5,,-0.5,7,no,0
2016-16-3,2016,16,3,Washington,Chicago,,-3,-3.5,,0.5,4,yes,4
2016-16-2,2016,16,2,Buffalo,Miami,,-4,-2.5,,-1.5,8,no,0
2016-16-1,2016,16,1,N.Y. Giants,Philadelphia,,1,-1.5,,2.5,5,no,0
2016-16-11,2016,16,11,Tampa Bay,New Orleans,,3,1.5,,1.5,3,no,0
2016-16-7,2016,16,7,Atlanta,Carolina,,-3,1.5,,-4.5,2,yes,2
2016-16-13,2016,16,13,Cincinnati,Houston,,0,2,,-2,1,no,0
2016-17-1,2016,17,1,Baltimore,Cincinnati,,-1.5,2,,-3.5,1,no,0
2016-17-2,2016,17,2,Tennessee,Houston,,-3.5,1,,-4.5,4,yes,4
2016-17-3,2016,17,3,Indianapolis,Jacksonville,,-4.5,-10,,5.5,9,yes,9
2016-17-4,2016,17,4,New England,Miami,,-7.5,-4.5,,-3,12,yes,12
2016-17-5,2016,17,5,Minnesota,Chicago,,-6,-8.5,,2.5,10,yes,10
2016-17-6,2016,17,6,Buffalo,N.Y. Jets,,-3.5,-2.5,,-1,6,no,0
2016-17-7,2016,17,7,Philadelphia,Dallas,,-5.5,4.5,,-10,7,yes,7
2016-17-8,2016,17,8,Pittsburgh,Cleveland,,-3,-17.5,,14.5,13,yes,13
2016-17-9,2016,17,9,Tampa Bay,Carolina,,-3.5,-1,,-2.5,5,yes,5
2016-17-10,2016,17,10,Atlanta,New Orleans,,-7.5,-8,,0.5,15,yes,15
2016-17-11,2016,17,11,Denver,Oakland,,-1.5,-1,,-0.5,2,yes,2
2016-17-12,2016,17,12,Arizona,L.A. Rams,,-6.5,-3.5,,-3,11,yes,11
2016-17-13,2016,17,13,Kansas City,L.A. Rams,,-4.5,-7.5,,3,14,yes,14
2016-17-14,2016,17,14,Seattle,San Francisco,,-10.5,-10.5,,0,16,yes,16
2016-17-15,2016,17,15,Washington,N.Y. Giants,,-7.5,-2.5,,-5,8,no,0
2016-17-16,2016,17,16,Green Bay,Detroit,,-3,0.5,,-3.5,3,yes,3
2017-1-1,2017,1,1,New England,Kansas City,,-8.5,-5.5,,-3,14,no,0
2017-1-2,2017,1,2,Buffalo,N.Y. Jets,,-7.5,,,-7.5,9,yes,9
2017-1-3,2017,1,3,Atlanta,Chicago,,-6.5,,,-6.5,11,yes,11
2017-1-4,2017,1,4,Cincinnati,Baltimore,,-2.5,,,-2.5,10,no,0
2017-1-5,2017,1,5,Pittsburgh,Cleveland,,-10,,,-10,15,yes,15
2017-1-6,2017,1,6,Arizona,Detroit,,-2.5,,,-2.5,5,no,0
2017-1-7,2017,1,7,Oakland,Tennessee,,2.5,,,2.5,3,yes,3
