Year,Week,Won Toss,Won OT Toss,Roof,Surface,Duration,Attendance,Weather,Vegas Line,Over/Under,Link,Favorite,Vegas Line,Over/Under (Points)
2015,4,Chiefs (deferred),,outdoors,fieldturf ,3:17,"57,498","68 degrees, relative humidity 64%, wind 5 mph, wind chill 0",Cincinnati Bengals -3.5,45.0 (over),https://www.pro-football-reference.com/boxscores/201510040cin.htm,Cincinnati Bengals,-3.5,45
2015,4,Chargers (deferred),,outdoors,grass ,3:15,"63,710","68 degrees, relative humidity 78%, wind 11 mph, wind chill 0",San Diego Chargers -7.0,44.5 (over),https://www.pro-football-reference.com/boxscores/201510040sdg.htm,San Diego Chargers,-7,44.5
2015,4,49ers (deferred),,outdoors,grass,2:50,"70,799","74 degrees, relative humidity 36%, wind 5 mph, wind chill 0",Green Bay Packers -7.5,48.0 (under),https://www.pro-football-reference.com/boxscores/201510040sfo.htm,Green Bay Packers,-7.5,48
2015,4,Broncos (deferred),,outdoors,grass ,3:00,"77,029","61 degrees, relative humidity 57%, wind 9 mph, wind chill 0",Denver Broncos -7.0,42.5 (over),https://www.pro-football-reference.com/boxscores/201510040den.htm,Denver Broncos,-7,42.5
2015,4,Cardinals,,retractable roof (closed),grass ,3:02,"63,146",,Arizona Cardinals -7.0,44.0 (over),https://www.pro-football-reference.com/boxscores/201510040crd.htm,Arizona Cardinals,-7,44
2015,4,Saints,Saints,dome,sportturf,3:09,"73,009",,New Orleans Saints -3.0,48.0 (under),https://www.pro-football-reference.com/boxscores/201510040nor.htm,New Orleans Saints,-3,48
2015,4,Seahawks (deferred),,outdoors,fieldturf ,2:49,"69,005","74 degrees, relative humidity 41%, wind 8 mph, wind chill 0",Seattle Seahawks -9.5,43.0 (under),https://www.pro-football-reference.com/boxscores/201510050sea.htm,Seattle Seahawks,-9.5,43
2015,5,Colts (deferred),,retractable roof (closed),fieldturf,3:01,"71,732",,Houston Texans -2.0,44.5 (over),https://www.pro-football-reference.com/boxscores/201510080htx.htm,Houston Texans,-2,44.5
2015,5,Falcons (deferred),Redskins,dome,fieldturf ,3:11,"70,178",,Atlanta Falcons -7.0,48.0 (under),https://www.pro-football-reference.com/boxscores/201510110atl.htm,Atlanta Falcons,-7,48
2015,5,Jaguars (deferred),,outdoors,grass ,3:07,"58,490","84 degrees, relative humidity 55%, wind 9 mph, wind chill 0",Tampa Bay Buccaneers -2.5,41.5 (over),https://www.pro-football-reference.com/boxscores/201510110tam.htm,Tampa Bay Buccaneers,-2.5,41.5
2015,5,Browns (deferred),Ravens,outdoors,sportturf,3:40,"71,046","65 degrees, relative humidity 48%, wind 2 mph, wind chill 0",Baltimore Ravens -6.0,42.5 (over),https://www.pro-football-reference.com/boxscores/201510110rav.htm,Baltimore Ravens,-6,42.5
2015,5,Chiefs (deferred),,outdoors,grass ,3:14,"75,799","72 degrees, relative humidity 51%, wind 10 mph, wind chill 0",Kansas City Chiefs -9.0,45.0 (under),https://www.pro-football-reference.com/boxscores/201510110kan.htm,Kansas City Chiefs,-9,45
